day,month,year,hour,minute,temp
21,2,2018,9,37,24.9706818182
21,2,2018,9,38,24.9834042553
21,2,2018,9,39,24.9653488372
21,2,2018,9,40,24.9480434783
21,2,2018,9,41,24.9870833333
21,2,2018,9,42,24.9532608696
21,2,2018,9,43,24.9634883721
21,2,2018,9,44,24.9612244898
21,2,2018,9,45,24.9768888889
21,2,2018,9,46,24.9555555556
21,2,2018,9,47,24.9617777778
21,2,2018,9,48,24.9704255319
21,2,2018,9,49,24.9491111111
21,2,2018,9,50,24.9997916667
21,2,2018,9,51,24.9593617021
21,2,2018,9,52,24.9504444444
21,2,2018,9,53,24.9987234043
21,2,2018,9,54,24.9804166667
21,2,2018,9,55,24.9776086957
21,2,2018,9,56,24.9518604651
21,2,2018,9,57,24.9437777778
21,2,2018,9,58,25.0193333333
21,2,2018,9,59,24.9557777778
21,2,2018,10,0,24.9852272727
21,2,2018,10,1,24.9893877551
21,2,2018,10,2,25.0223913043
21,2,2018,10,3,24.9787234043
21,2,2018,10,4,24.99375
21,2,2018,10,5,25.0113333333
21,2,2018,10,6,25.0340909091
21,2,2018,10,7,24.9842553191
21,2,2018,10,8,25.0331111111
21,2,2018,10,9,25.0152083333
21,2,2018,10,10,25.0390909091
21,2,2018,10,11,25.0004651163
21,2,2018,10,12,25.0335555556
21,2,2018,10,13,24.9969047619
21,2,2018,10,14,25.05
21,2,2018,10,15,25.0610638298
21,2,2018,10,16,24.9818604651
21,2,2018,10,17,24.9992857143
21,2,2018,10,18,25.0575
21,2,2018,10,19,25.0030232558
21,2,2018,10,20,25.0486666667
21,2,2018,10,21,25.0156818182
21,2,2018,10,22,25.0023809524
21,2,2018,10,23,25.0504444444
21,2,2018,10,24,25.2064516129
21,2,2018,10,25,25.0162790698
21,2,2018,10,26,25.0123255814
21,2,2018,10,27,25.0139534884
21,2,2018,10,28,24.9969047619
21,2,2018,10,29,25.0086363636
21,2,2018,10,30,25.025
21,2,2018,10,31,25.0672916667
21,2,2018,10,32,25.0070454545
21,2,2018,10,33,25.006
21,2,2018,10,34,25.0070454545
21,2,2018,10,35,25.0088636364
21,2,2018,10,36,25.0095454545
21,2,2018,10,37,24.9865
21,2,2018,10,38,25.0140909091
21,2,2018,10,39,25.0165909091
21,2,2018,10,40,25.02
21,2,2018,10,41,25.0230232558
21,2,2018,10,42,25.0130232558
21,2,2018,10,43,25.0504347826
21,2,2018,10,44,25.0422222222
21,2,2018,10,45,25.0341666667
21,2,2018,10,46,25.0291111111
21,2,2018,10,47,25.0582978723
21,2,2018,10,48,25.0244186047
21,2,2018,10,49,25.0895744681
21,2,2018,10,50,25.0248780488
21,2,2018,10,51,25.0646666667
21,2,2018,10,52,25.0652272727
21,2,2018,10,53,25.0526190476
21,2,2018,10,54,25.1102222222
21,2,2018,10,55,25.0836363636
21,2,2018,10,56,25.1106666667
21,2,2018,10,57,25.0853488372
21,2,2018,10,58,25.0982222222
21,2,2018,10,59,25.0962790698
21,2,2018,11,0,25.0956818182
21,2,2018,11,1,25.1146511628
21,2,2018,11,2,25.0995238095
21,2,2018,11,3,25.1116666667
21,2,2018,11,4,25.120952381
21,2,2018,11,5,25.1419047619
